id,title,all_authors,author_gender,category,orthography,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,rfdsd
SvB_BS_085,Höstoffer,Mons Kallentoft,M,CRIME,quot,44993,240054,293579,264930,289923,232600,298877,285676,249573,209987,241019
SvB_BS_086,I den innersta kretsen,Viveca Sten,F,CRIME,quot,284392,411155,400573,242641,297619,243717,183993,314594,319885,177930,287653
SvB_BS_087,Eldvittnet,Lars Kepler,2,CRIME,dash,222851,245144,358470,191522,368803,270562,192366,394190,194815,233848,267257
SvB_BS_088,Änglamakerskan,Camilla Läckberg,F,CRIME,quot,350809,360205,372078,565338,301090,360600,447690,253316,353099,309065,367331
SvB_BS_089,En dag,David Nicholls,M,OTHER,quot,272335,303198,278948,322876,288800,349955,435781,335177,296605,207866,309155
SvB_BS_090,Livet deluxe,Jens Lapidus,M,CRIME,quot,220440,126757,129524,214620,262829,286231,243648,207239,252449,172049,211579
SvB_BS_091,Brobyggarna,Jan Guillou,M,OTHER,quot,141197,118331,146261,219818,167848,110389,216566,112041,137626,232836,160291
SvB_BS_092,Niceville,Kathryn Stockett,F,OTHER,quot,257126,244236,261241,297368,233949,305779,254342,354191,324781,279758,281277
SvB_BS_093,"Du gamla, du fria",Liza Marklund,F,CRIME,dash,171417,277024,342626,275987,314022,316302,360348,304798,232770,260131,285543
SvB_BS_094,Pansarhjärta,Jo Nesbø,M,CRIME,quot,201040,445093,401168,617757,457418,417499,272839,607009,493984,369100,428289
SvB_BS_095,Det fjärde offret,Mari Jungstedt,F,CRIME,dash,211080,256134,381774,454104,331356,272041,420811,70774,248989,181990,282908
SvB_BS_096,Drömmen förde dej vilse,Anna Jansson,F,CRIME,quot,242101,307181,293233,448622,386183,534975,323199,423232,326468,406451,369165
SvB_BS_098,Det fördolda,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,dash,132090,231732,110523,290528,269880,173536,293982,149206,226435,239868,211776
SvB_BS_099,Huvudjägarna,Jo Nesbø,M,CRIME,quot,307131,162895,463302,214562,147536,44669,398541,85616,436356,462478,272314
SvB_BS_101,Sankta Psyko,Johan Theorin,M,CRIME,quot,267806,135448,234022,163011,204999,177912,232859,197372,270006,279391,216283
SvB_BS_102,Tusenskönor,Kristina Ohlsson,F,CRIME,dash,313937,359437,267446,310567,337167,330888,374504,362510,416039,348964,342146
SvB_BS_103,I grunden utan skuld,Viveca Sten,F,CRIME,quot,175625,184825,184825,279726,214136,275633,232275,245437,229952,227187,224962
SvB_BS_104,I natt är du död,Viveca Sten,F,CRIME,quot,248671,234693,303455,287131,335173,231603,407441,324918,496167,203005,307224
SvB_BS_105,Den femte årstiden,Mons Kallentoft,M,CRIME,quot,149982,164677,193951,144942,275581,223225,153077,181923,250199,118068,185562
SvB_BS_106,Utrensning,Sofi Oksanen,F,PRESTIGE,dash,95187,142975,50615,68228,84555,92242,77924,98865,171594,59957,94214
SvB_BS_107,Ensamma hjärtan och hemlösa hundar,Lucy Dillon,F,ROMANCE,quot,321713,289903,384002,385110,312652,450403,316567,371889,417608,422040,367188
SvB_BS_108,Strindbergs stjärna,Jan Wallentin,M,CRIME,dash,81647,113351,236844,398794,194143,236155,56417,219361,327649,81912,194627
SvB_BS_109,Sandmannen,Lars Kepler,2,CRIME,dash,144809,173356,344451,392972,180516,209064,393443,155549,120124,128038,224232
SvB_BS_110,Änglavakter,Kristina Ohlsson,F,CRIME,dash,337921,372099,332980,276273,371129,317540,301156,292836,390806,429277,342201
SvB_BS_111,Någonstans inom oss,Kajsa Ingemarsson,F,ROMANCE,quot,271449,304456,263043,357872,469957,479696,496356,377799,341733,213996,357637
SvB_BS_112,Torka aldrig tårar utan handskar: 1. Kärleken,Jonas Gardell,M,OTHER,quot,114119,79198,103592,70343,124645,40100,106099,180117,151880,96575,106667
SvB_BS_114,Dandy,Jan Guillou,M,OTHER,quot,73298,174669,212013,103922,83185,120925,148770,93756,117862,240170,136856
SvB_BS_115,Den sista akten,Mari Jungstedt,F,CRIME,dash,136627,402156,311555,246419,358223,210171,254145,96556,386225,363592,276566
SvB_BS_117,Två soldater,Roslund & Hellström,M,CRIME,dash,72289,132330,55049,66298,243760,340944,171404,164148,260334,168076,167463
SvB_BS_118,Lärjungen,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,dash,132679,210046,218858,244288,130988,99012,144772,198212,120161,146913,164593
SvB_BS_119,I stundens hetta,Viveca Sten,F,CRIME,quot,196595,248421,322981,279366,223817,462898,299925,306061,282471,249411,287195
SvB_BS_120,Till offer åt Molok,Åsa Larsson,F,CRIME,dash,242288,265012,337116,212411,263593,362530,252364,309456,405556,272104,292242
SvB_BS_121,Gengångare,Jo Nesbø,M,CRIME,quot,125252,311696,294756,386832,345108,507514,200155,244016,328815,298009,304215
SvB_BS_122,En man som heter Ove,Fredrik Backman,M,OTHER,dash,99728,129668,73389,147305,96908,137942,162548,136977,162112,95710,124230
SvB_BS_123,Fjällgraven,"Hans Rosenfeldt, Michael Hjorth",M,CRIME,dash,95725,230362,140072,151522,232626,177319,164058,187899,144638,105080,162930
