id,title,all_authors,author_gender,translation,publisher,publication_date,subset,award,category,orthography
SvB_BS_247,Kvinnan på tåget,Paula Hawkins,F,transl,Norstedts,2015-04-02,bestseller,,CRIME,quot
SvB_BS_248,Det lilla bageriet på strandpromenaden,Jenny Colgan,F,transl,Norstedts,2016-06-09,bestseller,,ROMANCE,quot
SvB_BS_249,Mannen som sökte sin skugga,David Lagercrantz,M,no,Norstedts,2017-09-07,bestseller,,CRIME,quot
SvB_BS_250,Begynnelse,Dan Brown,M,transl,Bonnier Audio,2017-10-30,bestseller,,CRIME,quot
SvB_BS_251,Häxan,Camilla Läckberg,F,no,Bonnier Audio,2017-04-07,bestseller,,CRIME,quot
SvB_BS_252,Det förlorade barnet,Elena Ferrante,F,transl,Norstedts,2017-06-15,bestseller,Int Booker,PRESTIGE,quot
SvB_BS_253,"Den som stannar, den som går",Elena Ferrante,F,transl,Norstedts,2017-01-18,bestseller,,OTHER,quot
SvB_BS_254,Top dogg,Jens Lapidus,M,no,Bonnier Audio,2017-06-01,bestseller,,CRIME,quot
SvB_BS_255,Törst,Jo Nesbø,M,transl,Bonnier Audio,2017-03-21,bestseller,,CRIME,quot
SvB_BS_256,Never let me go,Kazuo Ishiguro,M,transl,Bonnier Audio,2017-11-03,bestseller,Nobel,PRESTIGE,quot
SvB_BS_257,Det förlovade landet,Mari Jungstedt,F,no,Bonnier Audio,2017-05-12,bestseller,,CRIME,dash
SvB_BS_258,Selfies,Jussi Adler-Olsen,M,transl,Bonnier Audio,2017-04-25,bestseller,,CRIME,quot
SvB_BS_259,Sommar på strandpromenaden,Jenny Colgan,F,transl,Norstedts,2016-06-16,bestseller,,ROMANCE,quot
SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,Jenny Colgan,F,transl,Norstedts,2016-12-01,bestseller,,ROMANCE,quot
SvB_BS_261,Lazarus,Lars Kepler,2,no,Bonnier Audio,2018-10-19,bestseller,,CRIME,dash
SvB_BS_263,Bränn alla mina brev,Alex Schulman,M,no,Stockholm Text,2018-12-04,bestseller,,OTHER,quot
SvB_BS_264,De som dödar drömmar sover aldrig,Jan Guillou,M,no,Piratförlaget,2018-11-01,bestseller,,OTHER,quot
SvB_BS_265,En andra chans,Jojo Moyes,F,transl,Printz Publishing,2018-07-31,bestseller,,ROMANCE,quot
SvB_BS_266,Ett mörker mitt ibland oss,Mari Jungstedt,F,no,Bonnier Audio,2018-06-01,bestseller,,CRIME,dash
SvB_BS_267,I fel sällskap,Viveca Sten,F,no,Bonnier Audio,2018-05-09,bestseller,,CRIME,quot
SvB_BS_268,Syndabocken,Sofie Sarenbrant,F,no,Stockholm Text,2018-05-21,bestseller,,CRIME,quot
SvB_BS_269,En högre rättvisa,"Hans Rosenfeldt, Michael Hjorth",M,no,Norstedts,2018-11-01,bestseller,,CRIME,quot
SvB_BS_270,De vänsterhäntas förening,Håkan Nesser,M,no,Bonnier Audio,2018-07-27,bestseller,,CRIME,quot
SvB_BS_271,Tre timmar,Anders Roslund,M,no,Piratförlaget,2018-05-31,bestseller,,CRIME,dash
