id,title,all_authors,author_gender,category,orthography,rfdsd,mninsl,wc
SvB_BS_060,Kinesen,Henning Mankell,M,CRIME,dash,238555,12.52086137281292,155989
SvB_BS_061,En plats i solen,Liza Marklund,F,CRIME,dash,337797,9.642687917294852,132538
SvB_BS_062,Den som dödar draken,Leif G.W. Persson,M,CRIME,dash,433515,11.524928958925342,102910
SvB_BS_063,Till dess din vrede upphör,Åsa Larsson,F,CRIME,dash,274494,10.619609856262834,75364
SvB_BS_064,Nattfåk,Johan Theorin,M,CRIME,quot,251082,7.514988009592326,99848
SvB_BS_065,Midvinterblod,Mons Kallentoft,M,CRIME,quot,318276,10.025260029717682,105993
SvB_BS_066,Mig äger ingen,Åsa Linderborg,F,PRESTIGE,dash,76433,9.755411255411255,58967
SvB_BS_067,Den förlorade symbolen,Dan Brown,M,CRIME,quot,303688,11.636274749450012,156753
SvB_BS_068,Fyrvaktaren,Camilla Läckberg,F,CRIME,quot,347172,12.84566006140106,132574
SvB_BS_069,Den orolige mannen,Henning Mankell,M,CRIME,dash,336080,13.690212995416553,151086
SvB_BS_070,Hypnotisören - Black edition,Lars Kepler,2,CRIME,dash,298365,7.247855917667239,141622
SvB_BS_071,Tre sekunder,Roslund & Hellström,M,CRIME,dash,219106,9.604916897506925,126601
SvB_BS_072,Hundraåringen som klev ut genom fönstret och försvann,Jonas Jonasson,M,OTHER,dash,127939,11.994876174210077,109787
SvB_BS_073,Den dubbla tystnaden,Mari Jungstedt,F,CRIME,dash,325610,15.206521739130435,77338
SvB_BS_074,Den mörka ängeln,Mari Jungstedt,F,CRIME,dash,329688,15.899644128113879,67758
SvB_BS_075,Sommardöden,Mons Kallentoft,M,CRIME,quot,245132,9.152962962962963,100815
SvB_BS_076,Snömannen,Jo Nesbø,M,CRIME,quot,346563,10.527475130270014,128251
SvB_BS_077,Paganinikontraktet,Lars Kepler,2,CRIME,dash,297429,8.15560737757049,129342
SvB_BS_078,Blodläge,Johan Theorin,M,CRIME,quot,228966,7.569444444444445,107112
SvB_BS_079,Den döende detektiven,Leif G.W. Persson,M,CRIME,dash,519847,11.174757281553399,119562
SvB_BS_080,Postcard Killers,Liza Marklund,F,CRIME,dash,297196,8.090739008419083,58204
SvB_BS_081,1222 över havet,Anne Holt,F,CRIME,dash,273165,10.459655485040798,84469
SvB_BS_082,Bara vanligt vatten,Kajsa Ingemarsson,F,ROMANCE,quot,215626,9.050412987752777,147366
SvB_BS_083,Boktjuven,Markus Zusak,M,OTHER,quot,135410,6.6379655586704045,122406
SvB_BS_084,Igelkottens elegans,Muriel Barbery,F,OTHER,dash,94407,7.588628762541806,72103
SvB_BS_085,Höstoffer,Mons Kallentoft,M,CRIME,quot,241019,10.524313725490195,111348
SvB_BS_086,I den innersta kretsen,Viveca Sten,F,CRIME,quot,287653,11.717557251908397,90717
SvB_BS_087,Eldvittnet,Lars Kepler,2,CRIME,dash,267257,7.611351611351611,118418
SvB_BS_088,Änglamakerskan,Camilla Läckberg,F,CRIME,quot,367331,13.90762331838565,126646
SvB_BS_089,En dag,David Nicholls,M,OTHER,quot,309155,8.781102023245802,131963
SvB_BS_090,Livet deluxe,Jens Lapidus,M,CRIME,quot,211579,15.575235109717868,140898
SvB_BS_091,Brobyggarna,Jan Guillou,M,OTHER,quot,160291,16.26392644672796,187609
