id,title,all_authors,author_gender,category,orthography,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,rfdsd
SvB_BS_237,Låt den rätte komma in,John Ajvide Lindqvist,M,OTHER,quot,70304,190826,191875,89342,219757,170739,226203,178384,258132,120372,104632,121121,82596,52316,185579,214511,133113,119772,100435,165517,149776
SvB_BS_238,Shantaram,Gregory David Roberts,M,OTHER,quot,318098,434792,228904,172004,241427,375185,352021,199588,154663,386335,423536,357622,203445,335218,265642,289828,220831,335588,318802,311668,296260
SvB_BS_240,Femtio nyanser av honom,E.L. James,F,ROMANCE,quot,286011,291549,178283,229424,292650,164343,286902,106750,341568,254127,346050,228079,213989,216705,240920,148569,324814,298117,159227,239208,242363
SvB_BS_241,Femtio nyanser av mörker,E.L. James,F,ROMANCE,quot,233761,281551,304018,374374,202850,287713,313350,246758,302735,192579,387470,263063,271537,283697,320709,360765,201566,295288,240082,296444,283015
SvB_BS_242,Morgon i Jenin,Susan Abulhawa,F,OTHER,quot,146424,230427,110453,152772,96085,67076,119128,75540,160601,108995,79348,159755,192340,190013,100741,78502,217732,199534,207152,77672,138516
SvB_BS_243,Femtio nyanser av frihet,E.L. James,F,ROMANCE,quot,241788,216469,230611,231524,266195,344206,218066,249658,263458,247519,226734,257413,320484,345575,268134,313983,367587,457801,204266,226988,274923
SvB_BS_244,Min fantastiska väninna,Elena Ferrante,F,OTHER,quot,57606,20894,59168,60547,36907,129272,111914,59754,112673,107617,122242,212849,113259,109570,227299,133958,138672,163054,88655,88086,107700
SvB_BS_245,Hennes nya namn,Elena Ferrante,F,OTHER,quot,104213,131881,204122,133968,172036,193843,151819,151970,210773,194234,291156,230207,149100,136168,95747,158993,180798,161602,194365,156927,170196
SvB_BS_246,Toner i natten,Jojo Moyes,F,ROMANCE,quot,335251,425637,367132,284141,291701,381923,186196,300740,239113,270008,407067,305834,388168,447329,250781,191947,236976,319145,328348,167625,306253
SvB_BS_247,Kvinnan på tåget,Paula Hawkins,F,CRIME,quot,27707,15613,88585,147346,216628,230049,74551,279079,243122,332358,212529,251902,210187,263271,221854,272248,124317,213268,297814,193013,195771
SvB_BS_248,Det lilla bageriet på strandpromenaden,Jenny Colgan,F,ROMANCE,quot,216042,198712,124122,324224,253708,420652,315183,278157,352849,500098,235995,202576,332227,226971,238727,161397,323248,315379,285575,226625,276620
