"W","ADP","PP","-1"
"§","§","§","-1"
"W","NUM","RG|NOM","-1"
"§","§","§","-1"
"W","ADV","AB","-1"
"W","ADJ","JJ|POS|UTR/NEU|SIN|DEF|NOM","-1"
"W","DET","DT|UTR|SIN|DEF","-1"
"W","NOUN","NN|UTR|SIN|DEF|NOM","-1"
"W","VERB","VB|PRS|AKT","-1"
"W","ADP","PP","-1"
"W","NOUN","NN|UTR|SIN|IND|NOM","-1"
"W","CCONJ","KN","-1"
"W","NOUN","NN|UTR|SIN|IND|NOM","-1"
".","PUNCT","MAD","-1"
"W","PART","AB","-1"
"W","ADP","PP","-1"
"W","SCONJ","SN","-1"
"W","PRON","PN|UTR|SIN|DEF|SUB","-1"
"W","AUX","VB|PRS|AKT","-1"
"W","ADP","PP","-1"
"W","NOUN","NN|UTR|SIN|IND|NOM","-1"
"W","PART","IE","-1"
"W","VERB","VB|INF|AKT","-1"
"W","PRON","PN|NEU|SIN|IND|SUB/OBJ","-1"
"W","ADP","PP","-1"
"W","NOUN","NN|UTR|SIN|DEF|NOM","-1"
"W","CCONJ","KN","-1"
"W","SCONJ","SN","-1"
"W","PRON","PN|UTR|SIN|DEF|SUB","-1"
"W","ADV","AB|KOM","-1"
"W","SCONJ","KN","-1"
"W","ADV","AB|POS","-1"
"W","VERB","VB|PRS|AKT","-1"
"W","PRON","PN|UTR|SIN|DEF|OBJ","-1"
"W","ADJ","JJ|POS|UTR|SIN|IND|NOM","-1"
".","PUNCT","MAD","-1"
"§","§","§","-1"
"W","INTJ","IN","-1"
",","PUNCT","MID","-1"
"W","INTJ","IN","-1"
".","PUNCT","MAD","-1"
"§","§","§","-1"
"W","PART","AB","-1"
"W","ADV","AB","-1"
"W","ADP","PP","-1"
"W","SCONJ","SN","-1"
"W","PRON","PN|UTR|SIN|DEF|SUB","-1"
"W","NOUN","NN|UTR|SIN|IND|NOM","-1"
"W","ADP","PP","-1"
"W","NOUN","NN|UTR|SIN|IND|NOM","-1"
"W","VERB","VB|PRS|AKT","-1"
"W","PRON","PN|UTR|SIN|DEF|OBJ","-1"
"W","VERB","VB|INF|SFO","-1"
"W","ADV","PL","-1"
"W","ADP","PP","-1"
"W","DET","DT|UTR|SIN|DEF","-1"
"W","ADJ","JJ|POS|UTR/NEU|SIN|DEF|NOM","-1"
"W","NOUN","NN|UTR|SIN|DEF|NOM","-1"
"W","CCONJ","KN","-1"
"W","PRON","HP|NEU|SIN|IND","-1"
"W","PRON","PN|UTR|SIN|IND|SUB","-1"
"W","ADV","AB","-1"
"W","AUX","VB|PRS|AKT","-1"
"W","VERB","VB|INF|AKT","-1"
"W","DET","DT|NEU|SIN|DEF","-1"
"W","ADV","AB","-1"
"W","ADJ","JJ|POS|UTR/NEU|SIN|DEF|NOM","-1"
"W","NOUN","NN|NEU|SIN|DEF|NOM","-1"
"W","SCONJ","SN","-1"
"W","NOUN","NN|NEU|SIN|DEF|NOM","-1"
",","PUNCT","MID","-1"
"W","DET","DT|NEU|SIN|DEF","-1"
"W","ADJ","JJ|POS|UTR/NEU|SIN|DEF|NOM","-1"
",","PUNCT","MID","-1"
"W","VERB","VB|PRS|AKT","-1"
"W","ADV","AB","-1"
"W","ADV","AB|POS","-1"
".","PUNCT","MAD","-1"
"§","§","§","-1"
"W","SCONJ","SN","-1"
"W","ADV","AB|POS","-1"
